,filename,file_type,contig,contig_len,plasmid_name,plasmid_accession,top_hit
0,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_100.contigs.fasta,long,tig00000005,119822.0,pKPC-CAV1321,CP011611,MF344581.1
1,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_100.contigs.fasta,long,tig00000017,24223.0,IncX3,JN247852,NZ_AP022058.1
2,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_12.contigs.fasta,long,tig00000002,182302.0,IncFIB(K),JN233704,NZ_CP029448.1
3,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_12.contigs.fasta,long,tig00000004,64783.0,IncR,DQ449578,NZ_CP035198.1
5,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_16.contigs.fasta,long,tig00000013|tig00000006,46066.0,IncP6|pKPC-CAV1321,JF785550|CP011611,NZ_CP056410.1
8,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_25.contigs.fasta,long,tig00000008|tig00000002|tig00000003,25230.0,IncFII(pKP91)|IncFIB(K)|IncFII(K)|IncFIA(HI1),CP000966|JN233704|CP000648|AF250878,NZ_CP007735.1
9,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_37.contigs.fasta,long,tig00000002,91883.0,IncFIA(HI1),AF250878,NZ_CP069912.1
10,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_49.contigs.fasta,long,tig00000003,15768.0,IncFII(SARC14)|IncFII(p14),JQ418540|JQ418538,NZ_CP056452.1
11,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_61.contigs.fasta,long,tig00000008,47076.0,IncFIA(HI1)|IncR,AF250878|DQ449578,NZ_CP056729.1
12,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_99.contigs.fasta,long,tig00000013,291428.0,pKPC-CAV1321,CP011611,NZ_CP069854.1
13,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/AL_99.contigs.fasta,long,tig00000015,52452.0,IncX3,JN247852,NZ_AP022058.1
14,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_17.contigs.fasta,long,tig00000006,350213.0,pKPC-CAV1321,CP011611,NZ_CP046504.1
15,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_17.contigs.fasta,long,tig00000008,27168.0,IncFII(pCRY),NC005814,NZ_CP026280.1
16,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_17.contigs.fasta,long,tig00000011,92513.0,IncFII(pHN7A8),JN232517,NZ_CP040319.1
17,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_22.contigs.fasta,long,tig00000002,94842.0,IncFIB(K)|IncFII,JN233704|AY458016,NZ_CP056516.1
18,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_37.contigs.fasta,long,tig00000003,91046.0,IncI1-I(Alpha),AP005147,NZ_CP054413.1
19,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_37.contigs.fasta,long,tig00000004,76723.0,IncFII,AY458016,NZ_CP049078.2
20,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_37.contigs.fasta,long,tig00000005,54838.0,IncI2(Delta),AP002527,NZ_CP063156.1
21,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_7.contigs.fasta,long,tig00000004,111408.0,IncI1-I(Alpha),AP005147,NZ_MN124285.1
22,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_7.contigs.fasta,long,tig00000005,117295.0,IncFIB(AP001918)|IncFIC(FII)|IncFIA,AP001918,NZ_CP024145.1
23,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH2_7.contigs.fasta,long,tig00000006,91886.0,p0111,AP010962,NZ_CP021537.1
24,/scratch/alopatki_lab/Sharma/Project-6/processed_data/long_read_genomes_only_assemblies_20221105/KH_10.contigs.fasta,long,tig00000002,108778.0,IncFIB(AP001918)|IncFII(29),AP001918|CP003035,NZ_CP047577.1
