filename,file_type,plasmid_name,plasmid_accession,contig,pctId,coverage,hit_len,template_length,subj_start,subj_end,query_start,query_end,read_len,contig_cover,contig_len
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_70_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_4_length_6856_cov_3.705568_component_3:6639..6769:Col(pHAD28)_1__KU674895:93.129771,93.13,                                  100.0,131,131,6639,6769,                                  1,131,1000000,3.705568,6856.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_70_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_6_length_3192_cov_6.041029_component_5:853..983:Col(pHAD28)_1__KU674895:100.000000,100.0,                                  100.0,131,131,853,983,                                  1,131,1000000,6.041029,3192.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_70_plasmid.fasta,short,Col440I,CP023920,NODE_8_length_2632_cov_6.915970_component_7:1467..1576:Col440I_1__CP023920:88.596491,91.82,                                  96.49,110,114,1467,1576,                                  1,110,1000000,6.91597,2632.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_70_plasmid.fasta,short,ColpVC,JX133088,NODE_11_length_1904_cov_15.482894_component_10:620..812:ColpVC_1__JX133088:97.409326,97.41,                                  100.0,193,193,620,812,                                  1,193,1000000,15.482894,1904.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_70_plasmid.fasta,short,Col(MG828),NC008486,NODE_12_length_1627_cov_2.385790_component_11:612..869:Col(MG828)_1__NC_008486:92.748092,94.19,                                  98.47,258,262,612,869,                                  1,258,1000000,2.38579,1627.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_16_plasmid.fasta,short,Col440II,CP023921,NODE_1_length_8212_cov_4.298480_component_0:5538..5818:Col440II_1__CP023921:90.425532,90.75,                                  99.65,281,282,5538,5818,                                  2,282,1000000,4.29848,8212.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_16_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_1_length_8212_cov_4.298480_component_0:2889..3019:Col(pHAD28)_1__KU674895:90.215128,90.91,                                  99.24,132,131,2889,3019,                                  1,131,1000000,4.29848,8212.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_16_plasmid.fasta,short,Col440I,CP023920,NODE_1_length_8212_cov_4.298480_component_0:6437..6550:Col440I_1__CP023920:95.614035,95.61,                                  100.0,114,114,6437,6550,                                  1,114,1000000,4.29848,8212.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_16_plasmid.fasta,short,Col440I,CP023920,NODE_3_length_4112_cov_3.114257_component_0:12..121:Col440I_1__CP023920:92.105263,95.45,                                  96.49,110,114,12,121,                                  1,110,1000000,3.114257,4112.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/KH_16_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_6_length_2616_cov_1.499800_component_4:2178..2306:Col(pHAD28)_1__KU674895:94.656489,96.12,                                  98.47,129,131,2178,2306,                                  1,129,1000000,1.4998,2616.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,IncFII(K),CP000648,NODE_35_length_49894_cov_28.910353_component_0:8978..9125:IncFII(K)_1__CP000648:94.594595,94.59,                                  100.0,148,148,8978,9125,                                  1,148,1000000,28.910353,49894.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,IncR,DQ449578,NODE_59_length_18081_cov_27.823552_component_0:11584..11834:IncR_1__DQ449578:99.203187,99.2,                                  100.0,251,251,11584,11834,                                  1,251,1000000,27.823552,18081.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,IncFIA(HI1),AF250878,NODE_74_length_13085_cov_28.573820_component_0:3563..3950:IncFIA(HI1)_1__AF250878:97.164948,97.16,                                  100.0,388,388,3563,3950,                                  1,388,1000000,28.57382,13085.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_83_length_10859_cov_28.523282_component_0:1291..1421:Col(pHAD28)_1__KU674895:90.076336,90.08,                                  100.0,131,131,1291,1421,                                  1,131,1000000,28.523282,10859.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_96_length_8884_cov_27.354331_component_0:2000..2130:Col(pHAD28)_1__KU674895:93.129771,93.13,                                  100.0,131,131,2000,2130,                                  1,131,1000000,27.354331,8884.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_96_length_8884_cov_27.354331_component_0:6277..6405:Col(pHAD28)_1__KU674895:91.603053,93.02,                                  98.47,129,131,6277,6405,                                  1,129,1000000,27.354331,8884.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,IncFIB(K),JN233704,NODE_97_length_8732_cov_6.456045_component_0:7521..8080:IncFIB(K)_1__JN233704:99.464286,99.46,                                  100.0,560,560,7521,8080,                                  1,560,1000000,6.456045,8732.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col440I,CP023920,NODE_108_length_6906_cov_26.395726_component_0:1661..1774:Col440I_1__CP023920:95.614035,95.61,                                  100.0,114,114,1661,1774,                                  1,114,1000000,26.395726,6906.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col440I,CP023920,NODE_108_length_6906_cov_26.395726_component_0:6786..6895:Col440I_1__CP023920:92.105263,95.45,                                  96.49,110,114,6786,6895,                                  1,110,1000000,26.395726,6906.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(MGD2),NC003789,NODE_125_length_5301_cov_22.050772_component_3:2225..2325:Col(MGD2)_1__NC_003789:67.647059,91.09,                                  74.26,101,136,2225,2325,                                  1,101,1000000,22.050772,5301.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_136_length_4638_cov_24.759575_component_0:511..641:Col(pHAD28)_1__KU674895:92.366412,92.37,                                  100.0,131,131,511,641,                                  1,131,1000000,24.759575,4638.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_140_length_4616_cov_24.434260_component_0:142..272:Col(pHAD28)_1__KU674895:91.603053,91.6,                                  100.0,131,131,142,272,                                  1,131,1000000,24.43426,4616.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col440I,CP023920,NODE_145_length_4339_cov_27.527975_component_22:3305..3417:Col440I_1__CP023920:92.105263,92.92,                                  99.12,113,114,3305,3417,                                  1,113,1000000,27.527975,4339.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_147_length_4204_cov_23.048249_component_0:1741..1869:Col(pHAD28)_1__KU674895:94.656489,96.12,                                  98.47,129,131,1741,1869,                                  1,129,1000000,23.048249,4204.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,IncFII(Yp),CP000670,NODE_153_length_3987_cov_27.888774_component_0:3040..3266:IncFII(Yp)_1__CP000670:90.937915,92.14,                                  98.7,229,230,3040,3266,                                  1,229,1000000,27.888774,3987.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col440I,CP023920,NODE_156_length_3629_cov_27.325257_component_0:982..1095:Col440I_1__CP023920:96.491228,96.49,                                  100.0,114,114,982,1095,                                  1,114,1000000,27.325257,3629.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col440I,CP023920,NODE_159_length_3408_cov_24.511104_component_0:3098..3210:Col440I_1__CP023920:89.473684,90.27,                                  99.12,113,114,3098,3210,                                  1,113,1000000,24.511104,3408.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,IncFII(pBK30683),KF954760,NODE_162_length_3323_cov_29.042161_component_0:2370..2593:IncFII(pBK30683)_1__KF954760:89.984281,91.19,                                  98.68,227,227,2370,2593,                                  1,227,1000000,29.042161,3323.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_164_length_3249_cov_18.470269_component_0:388..502:Col(pHAD28)_1__KU674895:81.679389,93.04,                                  87.79,115,131,388,502,                                  1,115,1000000,18.470269,3249.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_171_length_3047_cov_28.308954_component_0:383..513:Col(pHAD28)_1__KU674895:92.366412,92.37,                                  100.0,131,131,383,513,                                  1,131,1000000,28.308954,3047.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col(pHAD28),KU674895,NODE_175_length_2884_cov_27.887803_component_0:2678..2808:Col(pHAD28)_1__KU674895:92.366412,92.37,                                  100.0,131,131,2678,2808,                                  1,131,1000000,27.887803,2884.0
/scratch/alopatki_lab/Sharma/Project-6/processed_data/processed_all_090323-flat_fasta/AL_27_plasmid.fasta,short,Col440I,CP023920,NODE_177_length_2853_cov_4.479502_component_0:2668..2781:Col440I_1__CP023920:100.000000,100.0,                                  100.0,114,114,2668,2781,                                  1,114,1000000,4.479502,2853.0
